RowId,Location
1,-3.5762749
2,7.530059
3,-14.510225
4,-5.653242
5,15.648799
6,-10.524364
7,8.261253
8,-1.0030586
9,-8.019665
10,-5.41055
11,-12.694059
12,-11.743558
13,23.015768
14,-6.809137
15,20.122261
16,10.705241
17,-12.32444
18,-4.7828956
19,-23.054285
20,-24.93501
21,10.078472
22,-0.8069954
23,-12.389804
24,21.934628
25,16.481434
26,26.569809
27,-0.7520976
28,-9.255657
29,-10.591594
30,56.459488
31,3.6240609
32,3.4395978
33,-7.572748
34,-5.139782
35,4.526219
36,2.1913564
37,12.750347
38,-7.1635604
39,-7.64545
40,-3.6717124
41,-8.653917
42,-8.447371
43,13.525558
44,-5.1946106
45,9.248441
46,6.723329
47,-6.8985415
48,-10.612529
49,-21.527494
50,-14.274324
51,10.12295
52,6.795003
53,-5.568755
54,17.009577
55,6.7029643
56,10.593544
57,-1.1473513
58,-6.9589696
59,-7.5364475
60,32.96133
61,16.987501
62,1.9166833
63,-6.145254
64,2.9542184
65,18.468409
66,-7.003194
67,17.685871
68,-8.427774
69,-14.862806
70,-11.270165
71,-12.006193
72,-10.048608
73,19.099222
74,4.053426
75,-0.25771078
76,-1.9721438
77,-12.125236
78,0.21642165
79,-20.117332
80,-3.8061204
81,21.881506
82,11.076909
83,-8.050797
84,8.223452
85,26.913221
86,9.691023
87,11.529651
88,-12.671919
89,-6.3608475
90,34.186184
91,0.5944687
92,6.3457985
93,-17.95619
94,-1.8972242
95,11.204221
96,0.21950328
97,10.381525
98,-10.947288
99,-26.350443
100,0.9700092
101,-16.66218
102,-5.2483835
103,23.965082
104,9.574391
105,0.68707985
106,9.907081
107,-11.8563795
108,-0.13220961
109,-27.426653
110,2.1420069
111,15.29413
112,-14.832921
113,-9.60982
114,26.813152
115,12.297099
116,23.0649
117,-1.7603695
118,-35.08187
119,-17.758379
120,54.396164
121,-1.7862413
122,-1.034851
123,-10.366277
124,-4.500556
125,0.67494655
126,-0.9244279
127,8.984294
128,-5.216243
129,-8.611342
130,-1.3739775
131,-13.657326
132,-8.551097
133,10.902567
134,-0.80832875
135,6.038597
136,10.417846
137,-5.9622126
138,1.5469786
139,-16.22259
140,-2.31548
